MSZoning,LotArea,Street,Neighborhood,YearBuilt,OverallCond,ExterQual,GrLivArea,FullBath,GarageArea,BsmtCond,FireplaceQu,Electrical,LotFrontage,KitchenQual,PavedDrive,MSZoning_mean,Neighborhood_mean,OverallCond_mean,BsmtCond_mean,FireplaceQu_mean,Electrical_mean,ExterQual_Gd_dummy0,ExterQual_TA_dummy1,ExterQual_Ex_dummy2,ExterQual_Fa_dummy3,FullBath_2_dummy0,FullBath_1_dummy1,FullBath_3_dummy2,FullBath_0_dummy3,KitchenQual_Gd_dummy0,KitchenQual_TA_dummy1,KitchenQual_Ex_dummy2,KitchenQual_Fa_dummy3,PavedDrive_Y_dummy0,PavedDrive_N_dummy1,PavedDrive_P_dummy2
RH,5858,Pave,NAmes,1999,5,Gd,1337,2,511.0,TA,Fa,SBrkr,26.0,Gd,Y,131558.375,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RM,1680,Pave,BrDale,1971,5,TA,987,1,264.0,TA,,SBrkr,21.0,TA,Y,131558.375,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RM,1680,Pave,BrDale,1971,5,TA,1092,1,320.0,TA,,SBrkr,21.0,TA,Y,131558.375,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,2280,Pave,NPkVill,1975,6,TA,1456,2,440.0,TA,TA,SBrkr,24.0,Gd,Y,131558.375,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,2280,Pave,NPkVill,1975,6,TA,836,1,308.0,TA,,SBrkr,24.0,TA,Y,131558.375,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,12858,Pave,NridgHt,2009,5,Ex,2334,2,751.0,TA,Gd,SBrkr,102.0,Ex,Y,131558.375,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
RL,12883,Pave,NridgHt,2009,5,Gd,1544,2,868.0,TA,,SBrkr,94.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,11520,Pave,NridgHt,2005,5,Gd,1698,2,730.0,TA,Gd,SBrkr,90.0,Ex,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
RL,14122,Pave,NridgHt,2005,5,Gd,1822,2,678.0,TA,Gd,SBrkr,79.0,Ex,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
RL,14300,Pave,NridgHt,2003,5,Ex,2696,2,958.0,TA,Gd,SBrkr,110.0,Ex,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
RL,13650,Pave,NridgHt,2002,5,Gd,2250,2,756.0,TA,Ex,SBrkr,105.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,7132,Pave,NridgHt,2006,5,Gd,1370,2,484.0,TA,Gd,SBrkr,41.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,18494,Pave,Gilbert,2005,5,Gd,1324,2,430.0,TA,,SBrkr,100.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,3203,Pave,Blmngtn,2006,5,Gd,1145,2,437.0,TA,,SBrkr,43.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,13300,Pave,Gilbert,2004,5,Gd,1374,2,400.0,TA,Gd,SBrkr,67.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,8577,Pave,Gilbert,2004,5,Gd,1733,2,433.0,TA,Gd,SBrkr,63.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,17433,Pave,NoRidge,1998,5,Gd,2475,2,962.0,TA,TA,SBrkr,60.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,8987,Pave,Somerst,2005,5,Gd,1595,2,880.0,TA,Gd,SBrkr,73.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
FV,9215,Pave,Somerst,2009,5,Gd,1218,2,676.0,TA,,SBrkr,92.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
FV,10440,Pave,Somerst,2005,5,Gd,1468,2,528.0,TA,Gd,SBrkr,84.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,11920,Pave,SawyerW,2004,5,Gd,1659,2,484.0,TA,,SBrkr,70.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RH,9800,Pave,SawyerW,1920,5,TA,1012,1,429.0,TA,,FuseA,70.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,15410,Pave,Sawyer,1974,6,TA,1494,2,461.0,TA,Fa,SBrkr,39.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,13143,Pave,NoRidge,1993,5,Gd,2349,2,762.0,TA,TA,SBrkr,85.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,11134,Pave,NoRidge,1992,5,Gd,2225,2,713.0,TA,TA,SBrkr,88.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
FV,4835,Pave,Somerst,2004,5,Gd,1488,2,506.0,TA,Gd,SBrkr,25.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
FV,3515,Pave,Somerst,2004,5,Gd,1680,2,588.0,TA,,SBrkr,39.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
FV,3215,Pave,Somerst,2004,5,Gd,1200,2,480.0,TA,,SBrkr,30.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
FV,2544,Pave,Somerst,2004,5,Gd,1200,2,480.0,TA,,SBrkr,24.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
FV,2544,Pave,Somerst,2005,5,Gd,1236,2,480.0,TA,,SBrkr,24.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
FV,2980,Pave,Somerst,2000,5,Gd,1512,2,440.0,TA,,SBrkr,,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
FV,2403,Pave,Somerst,2003,5,Gd,1080,2,496.0,TA,,SBrkr,,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
FV,12853,Pave,Somerst,2010,5,Gd,1418,1,852.0,Po,Gd,SBrkr,57.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
FV,7379,Pave,Somerst,2000,5,Gd,1848,2,592.0,TA,TA,SBrkr,68.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
FV,8000,Pave,Somerst,2002,5,Gd,1492,2,596.0,TA,Gd,SBrkr,80.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,10456,Pave,NWAmes,1967,6,TA,1829,2,535.0,TA,,SBrkr,,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,10791,Pave,NWAmes,1993,5,TA,2495,2,660.0,TA,TA,SBrkr,80.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,18837,Pave,NWAmes,1978,5,TA,1891,3,678.0,TA,TA,SBrkr,,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
RL,9600,Pave,NWAmes,1971,6,TA,1645,1,441.0,TA,,SBrkr,80.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,9600,Pave,NAmes,1966,5,TA,1232,1,490.0,TA,,SBrkr,80.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,9900,Pave,NAmes,1966,5,TA,1209,1,504.0,TA,,SBrkr,90.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,9680,Pave,NAmes,1967,6,TA,1510,2,517.0,TA,,SBrkr,88.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,10600,Pave,NAmes,1964,5,TA,1775,2,480.0,TA,,SBrkr,,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,13260,Pave,NAmes,1962,6,TA,1728,2,0.0,TA,,SBrkr,98.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,9724,Pave,NAmes,1952,7,Gd,2461,2,400.0,TA,Gd,SBrkr,68.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,17360,Pave,NAmes,1949,6,TA,1556,2,470.0,TA,Gd,SBrkr,120.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,11380,Pave,NAmes,1966,8,TA,1128,1,315.0,TA,Gd,SBrkr,75.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
RL,8267,Pave,NAmes,1958,5,TA,1604,2,576.0,TA,,SBrkr,70.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,8197,Pave,NAmes,2003,5,Gd,1480,2,620.0,TA,,SBrkr,70.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,8050,Pave,NAmes,1959,5,TA,1143,1,308.0,TA,,SBrkr,,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,10725,Pave,NAmes,1959,5,TA,1206,1,312.0,TA,,SBrkr,87.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,10032,Pave,NAmes,1959,5,TA,1580,1,440.0,TA,Gd,SBrkr,80.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,8382,Pave,NAmes,1956,5,TA,1337,1,263.0,TA,,FuseA,60.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,10950,Pave,NAmes,1952,7,TA,1064,1,318.0,TA,,SBrkr,60.0,Fa,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
RL,10895,Pave,NAmes,1955,6,TA,972,1,305.0,TA,,SBrkr,119.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,13587,Pave,NAmes,1958,5,TA,988,1,264.0,TA,,SBrkr,70.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,7898,Pave,NAmes,1920,7,TA,985,1,676.0,TA,,SBrkr,65.0,TA,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
RL,8064,Pave,NAmes,1948,8,TA,1224,1,280.0,TA,,SBrkr,60.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,7635,Pave,NAmes,1960,6,TA,1175,1,484.0,TA,,SBrkr,81.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,9760,Pave,NAmes,1963,7,TA,1395,1,440.0,TA,TA,SBrkr,80.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RM,4800,Pave,OldTown,1900,5,TA,1844,1,240.0,TA,Gd,SBrkr,60.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RM,4485,Pave,OldTown,1920,7,TA,936,1,0.0,TA,Gd,SBrkr,56.0,TA,P,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
RM,5805,Pave,OldTown,1957,7,TA,1347,1,551.0,TA,,SBrkr,69.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
RM,6900,Pave,OldTown,1938,7,TA,1251,1,240.0,TA,,SBrkr,50.0,Fa,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
RM,11851,Pave,OldTown,1948,7,TA,1633,1,240.0,TA,Gd,SBrkr,69.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
RM,8239,Pave,OldTown,1920,6,TA,1245,1,315.0,TA,,SBrkr,,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RM,9656,Pave,OldTown,1923,2,TA,832,1,780.0,Fa,Gd,SBrkr,68.0,TA,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
RM,9600,Pave,OldTown,1900,9,Gd,1566,2,288.0,TA,,SBrkr,60.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RM,9000,Pave,OldTown,1890,9,Gd,2268,3,624.0,Fa,,SBrkr,50.0,Gd,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
RM,9045,Pave,OldTown,1910,3,TA,2256,2,0.0,TA,,FuseF,100.0,Fa,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
RM,10560,Pave,OldTown,1922,7,TA,1470,1,624.0,TA,,SBrkr,60.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RM,5830,Pave,BrkSide,1950,6,TA,1612,1,363.0,TA,,SBrkr,53.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,7793,Pave,BrkSide,1922,7,TA,2068,1,315.0,TA,Gd,FuseA,,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
RM,5000,Pave,BrkSide,1925,7,TA,765,1,200.0,TA,,FuseF,50.0,Gd,P,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
RM,6000,Pave,BrkSide,1939,7,TA,1132,1,240.0,Gd,,SBrkr,50.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RM,6000,Pave,BrkSide,1940,6,TA,1196,1,576.0,TA,Gd,FuseA,50.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RM,6360,Pave,BrkSide,1942,6,TA,1453,1,240.0,TA,Fa,FuseA,53.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
RM,6000,Pave,BrkSide,1948,7,TA,1416,1,312.0,TA,,SBrkr,50.0,TA,P,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
RM,6240,Pave,BrkSide,1936,7,TA,1040,1,624.0,Fa,,SBrkr,52.0,TA,P,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
RM,6240,Pave,BrkSide,1930,5,TA,1536,2,480.0,TA,Gd,FuseF,52.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RM,6120,Pave,OldTown,1923,5,TA,1068,1,288.0,Fa,Gd,SBrkr,51.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RM,8094,Pave,OldTown,1915,5,TA,1962,1,572.0,TA,TA,SBrkr,57.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RM,12900,Pave,OldTown,1912,8,Gd,1560,1,0.0,TA,,SBrkr,60.0,Gd,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
RM,3068,Pave,OldTown,1920,8,TA,1324,1,180.0,TA,,SBrkr,52.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,15263,Pave,ClearCr,1959,5,TA,1675,2,365.0,TA,Gd,SBrkr,100.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,10632,Pave,ClearCr,1917,3,TA,1224,1,180.0,Fa,,SBrkr,72.0,,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
RL,9900,Pave,SWISU,1915,4,Fa,1392,1,0.0,TA,,SBrkr,60.0,TA,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
RL,6001,Pave,SWISU,1940,5,TA,919,1,231.0,TA,,SBrkr,65.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
C (all),6449,Pave,SWISU,1907,1,TA,1884,1,0.0,TA,,SBrkr,,TA,N,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
RH,6048,Pave,SWISU,1910,7,TA,1680,2,450.0,TA,Gd,SBrkr,60.0,TA,P,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
RL,10773,Pave,Sawyer,1967,3,Fa,1832,2,0.0,TA,,SBrkr,72.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
RL,7800,Pave,Sawyer,1966,7,TA,892,1,416.0,TA,,SBrkr,65.0,Gd,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
RL,7832,Pave,Sawyer,1968,5,TA,864,1,280.0,TA,,SBrkr,65.0,TA,Y,191004.9947871416,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
