MSZoning,LotArea,Street,Neighborhood,YearBuilt,OverallCond,ExterQual,GrLivArea,FullBath,GarageArea,BsmtCond,FireplaceQu,Electrical,LotFrontage,KitchenQual,PavedDrive,SalePrice,MSZoning_mean,Neighborhood_mean,OverallCond_mean,BsmtCond_mean,FireplaceQu_mean,Electrical_mean,ExterQual_Gd_dummy0,ExterQual_TA_dummy1,ExterQual_Ex_dummy2,ExterQual_Fa_dummy3,FullBath_2_dummy0,FullBath_1_dummy1,FullBath_3_dummy2,FullBath_0_dummy3,KitchenQual_Gd_dummy0,KitchenQual_TA_dummy1,KitchenQual_Ex_dummy2,KitchenQual_Fa_dummy3,PavedDrive_Y_dummy0,PavedDrive_N_dummy1,PavedDrive_P_dummy2,LotFrontage_imp
RL,12968,Pave,Sawyer,1962,6,TA,912,1,352,TA,NA,SBrkr,,TA,Y,144000,191004.99478714162,136793.13513513515,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,60.5
RL,10652,Pave,CollgCr,2006,5,Gd,1494,2,840,TA,Gd,SBrkr,91.0,Gd,Y,279500,191004.99478714162,197965.77333333335,203146.91473812424,183632.6209000763,226351.41578947369,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,91.0
RL,10920,Pave,NAmes,1960,5,TA,1253,1,352,TA,Fa,SBrkr,,TA,Y,157000,191004.99478714162,145847.08,203146.91473812424,183632.6209000763,167298.48484848486,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,60.5
RM,6120,Pave,BrkSide,1929,8,TA,854,1,576,TA,NA,FuseA,51.0,TA,Y,132000,126316.83027522935,124834.05172413793,155651.73611111112,183632.6209000763,141331.48260869566,122196.89361702128,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,51.0
RL,11241,Pave,NAmes,1970,7,TA,1004,1,480,TA,TA,SBrkr,,TA,Y,149000,191004.99478714162,145847.08,158145.48780487804,183632.6209000763,205723.48881789137,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,60.5
RL,10791,Pave,Sawyer,1967,5,TA,1296,2,516,NA,NA,SBrkr,72.0,TA,Y,90000,191004.99478714162,136793.13513513515,203146.91473812424,105652.8918918919,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,72.0
RL,13695,Pave,SawyerW,2004,5,TA,1114,1,576,TA,NA,SBrkr,66.0,Gd,Y,159000,191004.99478714162,186555.7966101695,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,66.0
RL,7560,Pave,NAmes,1958,6,TA,1339,1,294,TA,NA,SBrkr,70.0,TA,Y,139000,191004.99478714162,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,70.0
RL,14215,Pave,NridgHt,2005,5,Gd,2376,3,853,TA,Gd,SBrkr,101.0,Gd,Y,325300,191004.99478714162,316270.6233766234,203146.91473812424,183632.6209000763,226351.41578947369,186825.1131934033,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,101.0
RM,7449,Pave,IDOTRR,1930,7,TA,1108,1,280,TA,Gd,FuseF,57.0,Gd,N,139400,126316.83027522935,100123.78378378379,158145.48780487804,183632.6209000763,226351.41578947369,107675.44444444444,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,57.0
RL,9742,Pave,CollgCr,2002,5,Gd,1795,2,534,TA,Gd,SBrkr,75.0,Gd,Y,230000,191004.99478714162,197965.77333333335,203146.91473812424,183632.6209000763,226351.41578947369,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,75.0
RM,4224,Pave,MeadowV,1976,7,TA,1060,1,572,TA,TA,SBrkr,44.0,TA,Y,129900,126316.83027522935,98576.4705882353,158145.48780487804,183632.6209000763,205723.48881789137,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,44.0
RL,8246,Pave,Sawyer,1968,8,TA,1060,1,270,TA,TA,SBrkr,,Gd,Y,154000,191004.99478714162,136793.13513513515,155651.73611111112,183632.6209000763,205723.48881789137,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,60.5
RL,14230,Pave,NridgHt,2007,5,Gd,1600,2,890,TA,Gd,SBrkr,110.0,Gd,Y,256300,191004.99478714162,316270.6233766234,203146.91473812424,183632.6209000763,226351.41578947369,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,110.0
RL,7200,Pave,NAmes,1951,7,TA,900,1,576,TA,NA,SBrkr,60.0,Gd,Y,134800,191004.99478714162,145847.08,158145.48780487804,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,60.0
RL,11478,Pave,NridgHt,2007,5,Gd,1704,2,772,TA,Gd,SBrkr,98.0,Gd,Y,306000,191004.99478714162,316270.6233766234,203146.91473812424,183632.6209000763,226351.41578947369,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,98.0
RL,16321,Pave,NAmes,1957,6,TA,1600,1,319,TA,Gd,SBrkr,47.0,TA,Y,207500,191004.99478714162,145847.08,153961.59126984127,183632.6209000763,226351.41578947369,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,47.0
RM,6324,Pave,BrkSide,1927,6,TA,520,1,240,TA,NA,SBrkr,60.0,Fa,Y,68500,126316.83027522935,124834.05172413793,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,60.0
C (all),8500,Pave,IDOTRR,1920,4,TA,1317,1,250,TA,NA,SBrkr,50.0,TA,N,40000,74528.0,100123.78378378379,120438.43859649122,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,50.0
RL,8544,Pave,Sawyer,1966,6,TA,1228,1,271,TA,NA,SBrkr,,Gd,Y,149350,191004.99478714162,136793.13513513515,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,60.5
RL,11049,Pave,CollgCr,2007,5,Gd,1234,2,484,TA,NA,SBrkr,85.0,Gd,Y,179900,191004.99478714162,197965.77333333335,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,85.0
RL,10552,Pave,NAmes,1959,5,TA,1700,1,447,TA,Gd,SBrkr,70.0,Gd,Y,165500,191004.99478714162,145847.08,203146.91473812424,183632.6209000763,226351.41578947369,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,70.0
RL,7313,Pave,NridgHt,2005,5,Ex,1561,2,556,TA,Gd,SBrkr,60.0,Ex,Y,277500,191004.99478714162,316270.6233766234,203146.91473812424,183632.6209000763,226351.41578947369,186825.1131934033,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,60.0
RL,13418,Pave,NridgHt,2004,5,Gd,2452,3,691,TA,Gd,SBrkr,108.0,Gd,Y,309000,191004.99478714162,316270.6233766234,203146.91473812424,183632.6209000763,226351.41578947369,186825.1131934033,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,108.0
RL,10859,Pave,CollgCr,1994,5,TA,1097,1,672,TA,NA,SBrkr,112.0,TA,Y,145000,191004.99478714162,197965.77333333335,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,112.0
RL,8532,Pave,NAmes,1954,6,TA,1297,1,498,TA,TA,SBrkr,74.0,TA,Y,153000,191004.99478714162,145847.08,153961.59126984127,183632.6209000763,205723.48881789137,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,74.0
RL,7922,Pave,NAmes,1953,7,TA,1057,1,246,TA,NA,SBrkr,68.0,Gd,Y,109000,191004.99478714162,145847.08,158145.48780487804,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,68.0
RL,6040,Pave,Edwards,1955,5,TA,1152,2,0,NA,NA,FuseP,65.0,Fa,N,82000,191004.99478714162,128219.7,203146.91473812424,105652.8918918919,141331.48260869566,97333.33333333333,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,65.0
RL,8658,Pave,NAmes,1965,5,TA,1324,2,440,TA,TA,SBrkr,84.0,TA,Y,160000,191004.99478714162,145847.08,203146.91473812424,183632.6209000763,205723.48881789137,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,84.0
RL,16905,Pave,Timber,1959,6,TA,1328,1,308,TA,Gd,SBrkr,115.0,TA,P,170000,191004.99478714162,242247.44736842104,153961.59126984127,183632.6209000763,226351.41578947369,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,115.0
RL,9180,Pave,SawyerW,1983,7,TA,884,1,504,TA,NA,SBrkr,,Gd,Y,144000,191004.99478714162,186555.7966101695,158145.48780487804,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,60.5
RL,9200,Pave,CollgCr,1975,6,TA,938,1,308,TA,NA,SBrkr,,TA,Y,130250,191004.99478714162,197965.77333333335,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,60.5
RL,7945,Pave,NAmes,1959,6,TA,1150,1,300,TA,NA,FuseA,70.0,TA,Y,141000,191004.99478714162,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,122196.89361702128,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,70.0
RL,7658,Pave,NridgHt,2005,5,Ex,1752,2,576,TA,Gd,SBrkr,61.0,Ex,Y,319900,191004.99478714162,316270.6233766234,203146.91473812424,183632.6209000763,226351.41578947369,186825.1131934033,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,61.0
RL,12822,Pave,Mitchel,2003,5,Gd,2149,1,670,TA,Ex,SBrkr,48.0,Gd,Y,239686,191004.99478714162,156270.1224489796,203146.91473812424,183632.6209000763,337712.5,186825.1131934033,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,48.0
FV,11096,Pave,Somerst,2006,5,Gd,1656,2,826,TA,NA,SBrkr,84.0,Gd,Y,249700,214014.06153846154,225379.83720930232,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,84.0
RM,4456,Pave,OldTown,1920,5,TA,1452,2,0,TA,NA,SBrkr,33.0,TA,N,113000,126316.83027522935,128225.30088495575,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,33.0
RL,7742,Pave,Sawyer,1966,7,TA,955,1,386,TA,NA,SBrkr,66.0,TA,Y,127000,191004.99478714162,136793.13513513515,158145.48780487804,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,66.0
RL,13869,Pave,Gilbert,1997,6,TA,1470,2,388,TA,NA,SBrkr,,TA,Y,177000,191004.99478714162,192854.50632911394,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,60.5
RM,6240,Pave,BrkSide,1934,6,TA,1176,1,528,TA,Gd,SBrkr,52.0,TA,Y,114500,126316.83027522935,124834.05172413793,153961.59126984127,183632.6209000763,226351.41578947369,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,52.0
RM,8472,Grvl,IDOTRR,1963,5,Fa,816,1,516,TA,NA,SBrkr,110.0,TA,Y,110000,126316.83027522935,100123.78378378379,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,110.0
RL,50271,Pave,Veenker,1981,5,Gd,1842,0,894,TA,Gd,SBrkr,68.0,Gd,Y,385000,191004.99478714162,238772.72727272726,203146.91473812424,183632.6209000763,226351.41578947369,186825.1131934033,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,68.0
RL,7134,Pave,NAmes,1955,5,TA,1360,1,572,TA,TA,SBrkr,60.0,TA,Y,130000,191004.99478714162,145847.08,203146.91473812424,183632.6209000763,205723.48881789137,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,60.0
RL,10175,Pave,NAmes,1964,5,TA,1425,2,576,TA,Gd,SBrkr,100.0,TA,Y,180500,191004.99478714162,145847.08,203146.91473812424,183632.6209000763,226351.41578947369,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,100.0
FV,2645,Pave,Somerst,1999,5,Gd,1739,2,480,TA,NA,SBrkr,24.0,Gd,Y,172500,214014.06153846154,225379.83720930232,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,24.0
RL,11645,Pave,CollgCr,2004,5,Gd,1720,2,565,TA,NA,SBrkr,89.0,Gd,Y,196500,191004.99478714162,197965.77333333335,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,89.0
RL,13682,Pave,StoneBr,2006,5,Ex,2945,3,641,TA,Gd,SBrkr,66.0,Gd,Y,438780,191004.99478714162,310499.0,203146.91473812424,183632.6209000763,226351.41578947369,186825.1131934033,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,66.0
RL,7200,Pave,CollgCr,1972,7,TA,780,1,352,TA,NA,SBrkr,60.0,TA,Y,124900,191004.99478714162,197965.77333333335,158145.48780487804,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,60.0
RL,13072,Pave,SawyerW,2004,5,TA,1158,1,576,TA,NA,SBrkr,63.0,Gd,Y,158000,191004.99478714162,186555.7966101695,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,63.0
RM,7200,Pave,IDOTRR,1920,7,TA,1111,1,288,Fa,NA,SBrkr,60.0,Fa,N,101000,126316.83027522935,100123.78378378379,158145.48780487804,121809.53333333334,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,60.0
RL,6442,Pave,NridgHt,2006,5,Gd,1370,2,484,Gd,Gd,SBrkr,44.0,Gd,Y,202500,191004.99478714162,316270.6233766234,203146.91473812424,213599.9076923077,226351.41578947369,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,44.0
RM,10300,Pave,OldTown,1921,6,TA,1710,2,480,TA,NA,SBrkr,50.0,TA,Y,140000,126316.83027522935,128225.30088495575,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,50.0
RL,9375,Pave,CollgCr,1997,5,TA,2034,2,645,TA,NA,SBrkr,,Gd,Y,219500,191004.99478714162,197965.77333333335,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,60.5
RL,9591,Pave,NridgHt,2004,5,Gd,2473,2,852,TA,Gd,SBrkr,76.0,Gd,Y,317000,191004.99478714162,316270.6233766234,203146.91473812424,183632.6209000763,226351.41578947369,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,76.0
RL,19900,Pave,NAmes,1970,5,TA,2207,2,576,TA,Gd,SBrkr,,TA,Y,180000,191004.99478714162,145847.08,203146.91473812424,183632.6209000763,226351.41578947369,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,60.5
RL,10665,Pave,CollgCr,2003,5,Gd,1479,2,558,TA,NA,SBrkr,72.0,Gd,Y,226000,191004.99478714162,197965.77333333335,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,72.0
RM,4608,Pave,OldTown,1945,6,TA,747,1,220,TA,NA,SBrkr,47.0,TA,Y,80000,126316.83027522935,128225.30088495575,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,47.0
RL,15593,Pave,ClearCr,1953,4,Gd,2287,2,667,TA,TA,SBrkr,81.0,TA,Y,225000,191004.99478714162,212565.42857142858,120438.43859649122,183632.6209000763,205723.48881789137,186825.1131934033,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,81.0
RL,13651,Pave,NAmes,1973,6,TA,2223,2,516,TA,Gd,SBrkr,95.0,TA,Y,244000,191004.99478714162,145847.08,153961.59126984127,183632.6209000763,226351.41578947369,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,95.0
RL,7599,Pave,Mitchel,1982,6,TA,845,1,360,TA,NA,SBrkr,69.0,TA,Y,129500,191004.99478714162,156270.1224489796,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,69.0
RL,10141,Pave,Gilbert,1998,5,TA,1718,2,427,TA,TA,SBrkr,74.0,TA,Y,185000,191004.99478714162,192854.50632911394,203146.91473812424,183632.6209000763,205723.48881789137,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,74.0
RL,10200,Pave,NAmes,1954,7,TA,1086,1,490,TA,NA,SBrkr,85.0,TA,Y,144900,191004.99478714162,145847.08,158145.48780487804,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,85.0
RM,5790,Pave,OldTown,1915,6,Gd,1605,2,379,TA,NA,SBrkr,60.0,TA,Y,107400,126316.83027522935,128225.30088495575,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,60.0
RM,1596,Pave,MeadowV,1973,5,TA,988,1,297,TA,NA,SBrkr,21.0,TA,Y,91000,126316.83027522935,98576.4705882353,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,21.0
RL,8475,Pave,NAmes,1956,7,TA,952,1,283,TA,NA,FuseA,,TA,Y,135750,191004.99478714162,145847.08,158145.48780487804,183632.6209000763,141331.48260869566,122196.89361702128,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,60.5
RM,8635,Pave,BrkSide,1948,5,TA,1285,1,240,TA,NA,SBrkr,50.0,TA,Y,127000,126316.83027522935,124834.05172413793,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,50.0
RL,10778,Pave,Sawyer,1968,5,TA,1768,2,0,TA,NA,SBrkr,72.0,TA,Y,136500,191004.99478714162,136793.13513513515,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,72.0
RM,10440,Pave,OldTown,1910,6,TA,1230,1,440,TA,NA,SBrkr,60.0,TA,Y,110000,126316.83027522935,128225.30088495575,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,60.0
RL,13000,Pave,NAmes,1968,6,TA,2142,2,509,TA,Gd,SBrkr,100.0,Gd,Y,193500,191004.99478714162,145847.08,153961.59126984127,183632.6209000763,226351.41578947369,186825.1131934033,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,100.0
RM,4500,Pave,Mitchel,1998,5,TA,1337,2,405,Gd,NA,SBrkr,32.0,TA,Y,153500,126316.83027522935,156270.1224489796,203146.91473812424,213599.9076923077,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,32.0
RL,10206,Pave,Somerst,2007,5,TA,1563,2,758,TA,Gd,SBrkr,78.0,Gd,Y,245000,191004.99478714162,225379.83720930232,203146.91473812424,183632.6209000763,226351.41578947369,186825.1131934033,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,78.0
RL,8892,Pave,NAmes,1960,5,TA,1065,1,461,TA,NA,SBrkr,80.0,TA,Y,126500,191004.99478714162,145847.08,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,80.0
RL,8530,Pave,Gilbert,1995,5,TA,1474,2,400,TA,TA,SBrkr,,TA,Y,168500,191004.99478714162,192854.50632911394,203146.91473812424,183632.6209000763,205723.48881789137,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,60.5
RL,16059,Pave,NoRidge,1991,5,Gd,2417,2,462,TA,TA,SBrkr,121.0,Gd,Y,260000,191004.99478714162,335295.31707317074,203146.91473812424,183632.6209000763,205723.48881789137,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,121.0
RL,11911,Pave,Gilbert,2005,5,Gd,1560,2,400,TA,Gd,SBrkr,122.0,Gd,Y,174000,191004.99478714162,192854.50632911394,203146.91473812424,183632.6209000763,226351.41578947369,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,122.0
FV,3951,Pave,Somerst,2009,5,Gd,1224,2,528,TA,NA,SBrkr,40.0,Gd,Y,164500,214014.06153846154,225379.83720930232,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,40.0
C (all),8470,Pave,IDOTRR,1915,2,Fa,1526,1,0,Fa,NA,SBrkr,105.0,Fa,N,85000,74528.0,100123.78378378379,141986.4,121809.53333333334,141331.48260869566,186825.1131934033,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,105.0
RL,8070,Pave,CollgCr,1994,5,TA,990,1,0,TA,NA,SBrkr,60.0,TA,Y,123600,191004.99478714162,197965.77333333335,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,60.0
RL,7200,Pave,NAmes,1950,5,TA,1040,1,420,NA,NA,FuseA,60.0,TA,Y,109900,191004.99478714162,145847.08,203146.91473812424,105652.8918918919,141331.48260869566,122196.89361702128,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,60.0
RL,8500,Pave,NAmes,1961,3,TA,1235,1,480,TA,NA,SBrkr,85.0,TA,Y,98600,191004.99478714162,145847.08,101929.4,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,85.0
RL,13360,Pave,Crawfor,1921,7,TA,964,1,432,TA,NA,SBrkr,80.0,TA,Y,163500,191004.99478714162,210624.72549019608,158145.48780487804,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,80.0
C (all),7200,Pave,OldTown,1910,6,TA,2291,2,506,Fa,Gd,SBrkr,60.0,TA,Y,133900,74528.0,128225.30088495575,153961.59126984127,121809.53333333334,226351.41578947369,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,60.0
RL,9337,Pave,CollgCr,1997,5,TA,1786,2,684,TA,NA,SBrkr,69.0,Gd,Y,204750,191004.99478714162,197965.77333333335,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,69.0
RL,9765,Pave,Gilbert,1993,8,Ex,1470,2,420,Gd,TA,SBrkr,,TA,Y,185000,191004.99478714162,192854.50632911394,155651.73611111112,213599.9076923077,205723.48881789137,186825.1131934033,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,60.5
