SalePrice,MSZoning,LotArea,Street,Neighborhood,YearBuilt,OverallCond,ExterQual,GrLivArea,FullBath,GarageArea,BsmtCond,FireplaceQu,Electrical,LotFrontage,KitchenQual,PavedDrive
90000,RL,10791,Pave,Sawyer,1967,5,TA,1296,2,516,None,None,SBrkr,72.0,TA,Y
159000,RL,13695,Pave,SawyerW,2004,5,TA,1114,1,576,TA,None,SBrkr,66.0,Gd,Y
139000,RL,7560,Pave,NAmes,1958,6,TA,1339,1,294,TA,None,SBrkr,70.0,TA,Y
325300,RL,14215,Pave,NridgHt,2005,5,Gd,2376,3,853,TA,Gd,SBrkr,101.0,Gd,Y
139400,RM,7449,Pave,IDOTRR,1930,7,TA,1108,1,280,TA,Gd,FuseF,57.0,Gd,N
230000,RL,9742,Pave,CollgCr,2002,5,Gd,1795,2,534,TA,Gd,SBrkr,75.0,Gd,Y
129900,RM,4224,Pave,MeadowV,1976,7,TA,1060,1,572,TA,TA,SBrkr,44.0,TA,Y
154000,RL,8246,Pave,Sawyer,1968,8,TA,1060,1,270,TA,TA,SBrkr,66.64670588235295,Gd,Y
256300,RL,14230,Pave,NridgHt,2007,5,Gd,1600,2,890,TA,Gd,SBrkr,110.0,Gd,Y
134800,RL,7200,Pave,NAmes,1951,7,TA,900,1,576,TA,None,SBrkr,60.0,Gd,Y
306000,RL,11478,Pave,NridgHt,2007,5,Gd,1704,2,772,TA,Gd,SBrkr,98.0,Gd,Y
207500,RL,16321,Pave,NAmes,1957,6,TA,1600,1,319,TA,Gd,SBrkr,47.0,TA,Y
68500,RM,6324,Pave,BrkSide,1927,6,TA,520,1,240,TA,None,SBrkr,60.0,Fa,Y
40000,C (all),8500,Pave,IDOTRR,1920,4,TA,1317,1,250,TA,None,SBrkr,50.0,TA,N
149350,RL,8544,Pave,Sawyer,1966,6,TA,1228,1,271,TA,None,SBrkr,72.2568888888889,Gd,Y
179900,RL,11049,Pave,CollgCr,2007,5,Gd,1234,2,484,TA,None,SBrkr,85.0,Gd,Y
165500,RL,10552,Pave,NAmes,1959,5,TA,1700,1,447,TA,Gd,SBrkr,70.0,Gd,Y
277500,RL,7313,Pave,NridgHt,2005,5,Ex,1561,2,556,TA,Gd,SBrkr,60.0,Ex,Y
309000,RL,13418,Pave,NridgHt,2004,5,Gd,2452,3,691,TA,Gd,SBrkr,108.0,Gd,Y
145000,RL,10859,Pave,CollgCr,1994,5,TA,1097,1,672,TA,None,SBrkr,112.0,TA,Y
153000,RL,8532,Pave,NAmes,1954,6,TA,1297,1,498,TA,TA,SBrkr,74.0,TA,Y
109000,RL,7922,Pave,NAmes,1953,7,TA,1057,1,246,TA,None,SBrkr,68.0,Gd,Y
82000,RL,6040,Pave,Edwards,1955,5,TA,1152,2,0,None,None,FuseP,65.0,Fa,N
160000,RL,8658,Pave,NAmes,1965,5,TA,1324,2,440,TA,TA,SBrkr,84.0,TA,Y
170000,RL,16905,Pave,Timber,1959,6,TA,1328,1,308,TA,Gd,SBrkr,115.0,TA,P
144000,RL,9180,Pave,SawyerW,1983,7,TA,884,1,504,TA,None,SBrkr,70.50980769230769,Gd,Y
130250,RL,9200,Pave,CollgCr,1975,6,TA,938,1,308,TA,None,SBrkr,74.97751803751804,TA,Y
141000,RL,7945,Pave,NAmes,1959,6,TA,1150,1,300,TA,None,FuseA,70.0,TA,Y
319900,RL,7658,Pave,NridgHt,2005,5,Ex,1752,2,576,TA,Gd,SBrkr,61.0,Ex,Y
239686,RL,12822,Pave,Mitchel,2003,5,Gd,2149,1,670,TA,Ex,SBrkr,48.0,Gd,Y
249700,FV,11096,Pave,Somerst,2006,5,Gd,1656,2,826,TA,None,SBrkr,84.0,Gd,Y
113000,RM,4456,Pave,OldTown,1920,5,TA,1452,2,0,TA,None,SBrkr,33.0,TA,N
127000,RL,7742,Pave,Sawyer,1966,7,TA,955,1,386,TA,None,SBrkr,66.0,TA,Y
177000,RL,13869,Pave,Gilbert,1997,6,TA,1470,2,388,TA,None,SBrkr,82.31711904761903,TA,Y
114500,RM,6240,Pave,BrkSide,1934,6,TA,1176,1,528,TA,Gd,SBrkr,52.0,TA,Y
110000,RM,8472,Grvl,IDOTRR,1963,5,Fa,816,1,516,TA,None,SBrkr,110.0,TA,Y
385000,RL,50271,Pave,Veenker,1981,5,Gd,1842,0,894,TA,Gd,SBrkr,68.0,Gd,Y
130000,RL,7134,Pave,NAmes,1955,5,TA,1360,1,572,TA,TA,SBrkr,60.0,TA,Y
180500,RL,10175,Pave,NAmes,1964,5,TA,1425,2,576,TA,Gd,SBrkr,100.0,TA,Y
172500,FV,2645,Pave,Somerst,1999,5,Gd,1739,2,480,TA,None,SBrkr,24.0,Gd,Y
196500,RL,11645,Pave,CollgCr,2004,5,Gd,1720,2,565,TA,None,SBrkr,89.0,Gd,Y
438780,RL,13682,Pave,StoneBr,2006,5,Ex,2945,3,641,TA,Gd,SBrkr,66.0,Gd,Y
124900,RL,7200,Pave,CollgCr,1972,7,TA,780,1,352,TA,None,SBrkr,60.0,TA,Y
158000,RL,13072,Pave,SawyerW,2004,5,TA,1158,1,576,TA,None,SBrkr,63.0,Gd,Y
101000,RM,7200,Pave,IDOTRR,1920,7,TA,1111,1,288,Fa,None,SBrkr,60.0,Fa,N
202500,RL,6442,Pave,NridgHt,2006,5,Gd,1370,2,484,Gd,Gd,SBrkr,44.0,Gd,Y
140000,RM,10300,Pave,OldTown,1921,6,TA,1710,2,480,TA,None,SBrkr,50.0,TA,Y
219500,RL,9375,Pave,CollgCr,1997,5,TA,2034,2,645,TA,None,SBrkr,73.53806302151953,Gd,Y
317000,RL,9591,Pave,NridgHt,2004,5,Gd,2473,2,852,TA,Gd,SBrkr,76.0,Gd,Y
180000,RL,19900,Pave,NAmes,1970,5,TA,2207,2,576,TA,Gd,SBrkr,110.53875,TA,Y
226000,RL,10665,Pave,CollgCr,2003,5,Gd,1479,2,558,TA,None,SBrkr,72.0,Gd,Y
80000,RM,4608,Pave,OldTown,1945,6,TA,747,1,220,TA,None,SBrkr,47.0,TA,Y
225000,RL,15593,Pave,ClearCr,1953,4,Gd,2287,2,667,TA,TA,SBrkr,81.0,TA,Y
244000,RL,13651,Pave,NAmes,1973,6,TA,2223,2,516,TA,Gd,SBrkr,95.0,TA,Y
129500,RL,7599,Pave,Mitchel,1982,6,TA,845,1,360,TA,None,SBrkr,69.0,TA,Y
185000,RL,10141,Pave,Gilbert,1998,5,TA,1718,2,427,TA,TA,SBrkr,74.0,TA,Y
144900,RL,10200,Pave,NAmes,1954,7,TA,1086,1,490,TA,None,SBrkr,85.0,TA,Y
107400,RM,5790,Pave,OldTown,1915,6,Gd,1605,2,379,TA,None,SBrkr,60.0,TA,Y
91000,RM,1596,Pave,MeadowV,1973,5,TA,988,1,297,TA,None,SBrkr,21.0,TA,Y
135750,RL,8475,Pave,NAmes,1956,7,TA,952,1,283,TA,None,FuseA,71.12514404761905,TA,Y
127000,RM,8635,Pave,BrkSide,1948,5,TA,1285,1,240,TA,None,SBrkr,50.0,TA,Y
136500,RL,10778,Pave,Sawyer,1968,5,TA,1768,2,0,TA,None,SBrkr,72.0,TA,Y
110000,RM,10440,Pave,OldTown,1910,6,TA,1230,1,440,TA,None,SBrkr,60.0,TA,Y
193500,RL,13000,Pave,NAmes,1968,6,TA,2142,2,509,TA,Gd,SBrkr,100.0,Gd,Y
153500,RM,4500,Pave,Mitchel,1998,5,TA,1337,2,405,Gd,None,SBrkr,32.0,TA,Y
245000,RL,10206,Pave,Somerst,2007,5,TA,1563,2,758,TA,Gd,SBrkr,78.0,Gd,Y
126500,RL,8892,Pave,NAmes,1960,5,TA,1065,1,461,TA,None,SBrkr,80.0,TA,Y
168500,RL,8530,Pave,Gilbert,1995,5,TA,1474,2,400,TA,TA,SBrkr,64.48659992784992,TA,Y
260000,RL,16059,Pave,NoRidge,1991,5,Gd,2417,2,462,TA,TA,SBrkr,121.0,Gd,Y
174000,RL,11911,Pave,Gilbert,2005,5,Gd,1560,2,400,TA,Gd,SBrkr,122.0,Gd,Y
164500,FV,3951,Pave,Somerst,2009,5,Gd,1224,2,528,TA,None,SBrkr,40.0,Gd,Y
85000,C (all),8470,Pave,IDOTRR,1915,2,Fa,1526,1,0,Fa,None,SBrkr,105.0,Fa,N
123600,RL,8070,Pave,CollgCr,1994,5,TA,990,1,0,TA,None,SBrkr,60.0,TA,Y
109900,RL,7200,Pave,NAmes,1950,5,TA,1040,1,420,None,None,FuseA,60.0,TA,Y
98600,RL,8500,Pave,NAmes,1961,3,TA,1235,1,480,TA,None,SBrkr,85.0,TA,Y
163500,RL,13360,Pave,Crawfor,1921,7,TA,964,1,432,TA,None,SBrkr,80.0,TA,Y
133900,C (all),7200,Pave,OldTown,1910,6,TA,2291,2,506,Fa,Gd,SBrkr,60.0,TA,Y
204750,RL,9337,Pave,CollgCr,1997,5,TA,1786,2,684,TA,None,SBrkr,69.0,Gd,Y
185000,RL,9765,Pave,Gilbert,1993,8,Ex,1470,2,420,Gd,TA,SBrkr,72.91322727272727,TA,Y
214000,RL,10264,Pave,CollgCr,1999,5,Gd,1588,2,472,TA,None,SBrkr,78.0,Gd,Y
94750,RL,10921,Pave,Edwards,1965,5,TA,960,1,432,TA,None,FuseF,73.0,TA,P
83000,RL,10625,Pave,Edwards,1920,5,TA,835,1,366,TA,None,SBrkr,85.0,TA,Y
128950,RL,9320,Pave,NAmes,1959,5,TA,1225,1,0,TA,None,SBrkr,77.0,TA,Y
205000,RL,10603,Pave,NWAmes,1977,7,TA,1610,2,480,TA,TA,SBrkr,79.88341003199699,Gd,Y
178000,RL,9206,Pave,SawyerW,1985,5,Gd,1732,2,476,TA,TA,SBrkr,77.0,Gd,Y
118964,RL,7018,Pave,SawyerW,1979,5,TA,1535,2,410,None,None,SBrkr,64.0,TA,Y
198900,RL,10402,Pave,CollgCr,2009,5,TA,1226,2,740,TA,None,SBrkr,94.0,Gd,Y
169500,RM,7758,Pave,IDOTRR,1931,4,TA,1818,1,240,TA,TA,FuseF,62.845,TA,Y
250000,FV,9375,Pave,Somerst,2003,5,Gd,1992,2,648,TA,Gd,SBrkr,75.0,Gd,Y
100000,RM,10800,Pave,OldTown,1885,7,TA,1047,1,273,TA,None,SBrkr,60.0,TA,N
115000,RM,6000,Pave,OldTown,1948,5,TA,789,1,250,TA,None,SBrkr,50.0,TA,Y
115000,RM,8500,Pave,IDOTRR,1919,7,TA,1517,2,0,TA,None,FuseF,85.0,Fa,N
190000,RL,11751,Pave,NWAmes,1977,6,TA,1844,2,546,TA,TA,SBrkr,105.0,TA,Y
136900,RL,9525,Pave,Edwards,1954,4,TA,1855,2,325,Fa,None,SBrkr,75.0,TA,Y
180000,RL,7750,Pave,Gilbert,2000,5,TA,1430,2,400,TA,TA,SBrkr,63.083849927849926,TA,Y
383970,RL,9965,Pave,CollgCr,2007,5,Gd,2696,2,792,TA,Gd,SBrkr,77.0,Ex,Y
217000,RL,21000,Pave,Crawfor,1953,5,TA,2259,2,450,TA,Gd,SBrkr,89.95666666666668,Gd,Y
259500,RL,7259,Pave,Crawfor,1945,8,TA,2320,2,180,TA,TA,SBrkr,61.0,Gd,Y
176000,FV,3230,Pave,Somerst,1999,5,TA,1458,2,440,TA,Fa,SBrkr,34.0,TA,Y
139000,RL,11616,Pave,Sawyer,1962,5,TA,1092,1,288,TA,Po,SBrkr,78.00359615384615,TA,Y
155000,RL,8536,Pave,Edwards,2006,5,TA,1125,1,430,TA,None,SBrkr,74.0,TA,Y
320000,RL,12376,Pave,SawyerW,1990,5,TA,3222,3,594,TA,TA,SBrkr,90.0,Gd,Y
163990,RL,8461,Pave,CollgCr,2005,5,Gd,1456,2,390,TA,Gd,SBrkr,65.0,Gd,Y
180000,RL,21453,Pave,ClearCr,1969,5,TA,988,1,540,TA,TA,SBrkr,82.60333333333332,TA,Y
100000,RM,6060,Pave,IDOTRR,1939,5,TA,1123,1,264,TA,None,SBrkr,50.0,TA,P
136000,RL,9464,Pave,NAmes,1958,7,TA,1080,1,288,TA,None,SBrkr,75.0,TA,Y
153900,RL,7892,Pave,SawyerW,1993,5,Gd,1199,2,530,TA,None,SBrkr,55.0,Gd,Y
181000,RL,17043,Pave,NWAmes,1979,5,TA,1586,2,435,Fa,TA,SBrkr,48.0,TA,Y
84500,RM,6780,Pave,IDOTRR,1935,8,TA,754,1,0,TA,None,SBrkr,60.0,TA,N
128000,RL,4928,Pave,NPkVill,1976,5,TA,958,2,440,TA,TA,SBrkr,49.81633333333333,TA,Y
87000,RM,4388,Pave,OldTown,1930,7,TA,840,1,0,TA,TA,SBrkr,55.0,TA,N
155000,RL,7590,Pave,NAmes,1966,5,TA,1348,1,453,TA,Fa,SBrkr,69.0,TA,Y
150000,RL,8973,Pave,NAmes,1958,7,TA,1053,1,750,TA,None,FuseA,69.0,Ex,Y
226000,RL,14200,Pave,NAmes,1966,6,TA,2157,2,487,TA,Gd,SBrkr,88.0,Gd,Y
244000,RL,12224,Pave,Gilbert,2000,5,Gd,2054,2,390,TA,TA,SBrkr,94.30359523809523,Gd,Y
150750,RL,7388,Pave,NAmes,1959,6,TA,1327,1,624,TA,None,SBrkr,75.0,Gd,Y
220000,RL,6853,Pave,Timber,2001,5,Gd,1296,2,471,TA,None,SBrkr,59.639836878175586,Gd,Y
180000,RL,10335,Pave,Sawyer,1968,6,TA,1721,2,440,TA,TA,SBrkr,78.0,TA,Y
174000,RL,10400,Pave,NWAmes,1970,6,TA,1682,2,530,TA,Gd,SBrkr,80.0,TA,Y
143000,RL,10355,Pave,NAmes,1967,5,TA,1214,2,318,TA,Fa,SBrkr,77.23651169590644,TA,Y
171000,RL,11070,Pave,Mitchel,1988,5,TA,1959,3,766,TA,None,SBrkr,82.0,TA,Y
230000,RL,9066,Pave,CollgCr,1999,5,Gd,1852,2,660,TA,TA,SBrkr,73.0,Gd,Y
231500,RL,15426,Pave,CollgCr,1997,5,TA,1764,2,470,TA,None,SBrkr,65.0,Gd,Y
115000,RL,10500,Pave,NAmes,1971,5,TA,864,1,0,TA,Po,SBrkr,70.0,TA,Y
260000,RL,11645,Pave,CollgCr,2005,5,Gd,1734,2,660,TA,None,SBrkr,78.0,Gd,Y
166000,RL,8520,Pave,NAmes,1952,4,TA,1385,2,720,TA,None,SBrkr,71.0,TA,Y
204000,RL,10335,Pave,CollgCr,1999,5,Gd,1501,2,577,TA,None,SBrkr,78.0,Gd,Y
125000,RM,9100,Pave,Sawyer,1963,5,TA,1728,2,504,TA,None,SBrkr,70.0,TA,Y
130000,RM,2522,Pave,Edwards,2004,5,Gd,1709,2,380,TA,None,SBrkr,24.0,Gd,Y
105000,RM,6120,Pave,BrkSide,1931,7,TA,875,1,180,TA,None,FuseA,51.0,TA,Y
222500,RL,9505,Pave,Gilbert,2001,5,Gd,2035,2,434,TA,Gd,SBrkr,75.727,Gd,Y
141000,RL,7500,Pave,SawyerW,2004,5,TA,1080,1,0,TA,None,SBrkr,63.0,Gd,Y
115000,RM,6240,Pave,BrkSide,1936,4,TA,1344,1,240,TA,None,FuseA,52.13333333333333,TA,Y
122000,RL,10356,Pave,CollgCr,1975,6,TA,969,1,440,TA,None,SBrkr,120.0,TA,Y
372402,RL,13891,Pave,NridgHt,2007,5,Gd,1710,2,866,TA,Gd,SBrkr,107.0,Gd,Y
190000,RL,14803,Pave,NWAmes,1971,5,TA,1993,2,495,TA,Gd,SBrkr,86.06423076923078,TA,Y
235000,RL,13500,Pave,ClearCr,1960,7,TA,1252,1,564,TA,Gd,SBrkr,81.10940476190476,TA,Y
125000,RM,11340,Pave,OldTown,1923,5,TA,1200,1,312,TA,None,FuseA,84.0,TA,Y
79000,RL,9600,Pave,Edwards,1924,5,TA,1096,1,0,TA,None,FuseF,60.0,TA,N
109500,RL,7200,Pave,NAmes,1950,7,TA,1040,1,625,None,None,FuseF,60.0,TA,Y
269500,RL,12003,Pave,Timber,2009,5,Gd,1968,2,680,TA,Gd,SBrkr,92.0,Ex,Y
254900,FV,12552,Pave,Somerst,2004,5,Gd,1947,2,678,TA,Gd,SBrkr,100.0,Gd,Y
320000,RL,19378,Pave,Gilbert,2005,5,Gd,2462,2,576,TA,Gd,SBrkr,134.0,Gd,Y
162500,RL,11120,Pave,Veenker,1984,6,TA,1232,2,516,TA,None,SBrkr,76.3303076923077,TA,Y
412500,RL,13688,Pave,NridgHt,2003,5,Gd,2668,2,726,TA,Gd,SBrkr,110.0,Ex,Y
220000,RL,12182,Pave,NridgHt,2005,5,Gd,1541,2,532,TA,Gd,SBrkr,95.0,Gd,Y
103200,RL,5500,Pave,OldTown,1956,6,TA,882,1,0,TA,None,SBrkr,55.0,TA,Y
152000,RM,5400,Pave,OldTown,1926,7,TA,1616,2,216,TA,None,FuseA,40.0,Gd,Y
127500,RL,10106,Pave,Edwards,1940,7,TA,1355,2,0,TA,None,SBrkr,62.0,TA,Y
190000,RL,10708,Pave,ClearCr,1955,5,Gd,1867,1,303,TA,Gd,FuseA,77.85966666666667,TA,Y
325624,RL,10562,Pave,NridgHt,2007,5,Gd,2161,1,789,TA,Gd,SBrkr,86.0,Ex,Y
183500,RL,8244,Pave,Gilbert,2004,5,Gd,1720,2,440,TA,Gd,SBrkr,62.0,Gd,Y
228000,RL,16669,Pave,Timber,1981,6,Gd,1707,2,511,TA,TA,SBrkr,77.094,TA,Y
128500,RM,12358,Pave,OldTown,1941,6,TA,1382,1,660,TA,None,SBrkr,73.265,TA,Y
215000,RL,31770,Pave,NAmes,1960,5,TA,1656,1,528,Gd,Gd,SBrkr,141.0,TA,P
239000,RL,5306,Pave,StoneBr,1987,7,Gd,1767,2,504,Gd,TA,SBrkr,44.0,Gd,Y
163000,RL,10197,Pave,NAmes,1961,5,TA,1362,1,504,TA,TA,SBrkr,80.0,TA,Y
184000,RL,12416,Pave,Timber,1986,5,TA,1651,2,616,Fa,TA,SBrkr,47.0,TA,Y
243000,RL,12615,Pave,Edwards,1950,7,TA,2158,2,576,Gd,Gd,SBrkr,84.0,Gd,Y
211000,RL,10029,Pave,ClearCr,1988,5,Gd,2060,2,521,TA,TA,SBrkr,97.0,TA,Y
172500,RL,13650,Pave,Sawyer,1958,5,Gd,1920,2,451,TA,Gd,SBrkr,83.28589743589743,Gd,Y
501837,RL,17423,Pave,StoneBr,2008,5,Ex,2234,2,1166,TA,Gd,SBrkr,63.0,Ex,Y
100000,RM,8520,Pave,OldTown,1923,6,Gd,968,1,480,TA,None,SBrkr,60.0,TA,N
177000,FV,2117,Pave,Somerst,2000,5,Gd,1525,2,440,TA,TA,SBrkr,29.983333333333334,Gd,Y
200100,RL,7588,Pave,Crawfor,1920,6,TA,1802,1,216,TA,Gd,SBrkr,54.0,TA,Y
120000,RL,9060,Pave,Edwards,1957,6,TA,1340,1,252,None,Gd,SBrkr,60.0,TA,Y
200000,RM,11426,Pave,OldTown,2003,5,TA,2082,2,484,TA,None,SBrkr,63.0,Gd,N
127000,RL,7438,Pave,BrkSide,1908,8,TA,1252,1,576,TA,None,SBrkr,92.0,TA,Y
475000,RM,22950,Pave,OldTown,1892,9,Gd,3608,2,840,TA,TA,SBrkr,90.0,Ex,Y
173000,RL,9947,Pave,Mitchel,1990,5,TA,1217,2,497,TA,None,SBrkr,78.47389102564102,Gd,Y
135000,RL,10410,Pave,OldTown,1916,7,TA,1656,2,180,TA,None,SBrkr,60.0,TA,N
153337,RL,7018,Pave,SawyerW,1979,5,TA,1224,0,528,TA,TA,SBrkr,64.0,TA,Y
286000,RL,4923,Pave,StoneBr,2001,5,Gd,1593,1,682,TA,Gd,SBrkr,41.0,Ex,Y
315000,RL,10570,Pave,Crawfor,1932,8,Gd,2727,2,440,Gd,TA,SBrkr,70.0,Gd,Y
184000,RL,7472,Pave,NAmes,1972,9,TA,1479,1,484,TA,None,SBrkr,69.93366666666665,Gd,Y
192000,RL,9017,Pave,CollgCr,1999,5,Gd,1431,2,666,TA,None,SBrkr,68.0,Gd,Y
130000,RM,2522,Pave,Edwards,2004,5,Gd,1709,2,380,TA,None,SBrkr,24.0,Gd,Y
127000,RL,7180,Pave,CollgCr,1972,7,TA,864,1,352,TA,None,SBrkr,60.0,TA,Y
148500,RL,2280,Pave,NPkVill,1976,6,TA,1456,2,440,TA,TA,SBrkr,24.0,TA,Y
311872,RL,9416,Pave,Somerst,2007,5,Ex,1726,2,786,TA,Gd,SBrkr,79.0,Ex,Y
235000,RL,25419,Pave,NAmes,1918,4,Gd,3112,2,795,TA,Ex,SBrkr,174.0,Gd,Y
104000,RM,5520,Pave,OldTown,1912,6,TA,2229,1,0,TA,None,SBrkr,92.0,TA,Y
274900,RL,9591,Pave,NridgHt,2004,5,Gd,1713,2,856,TA,Gd,SBrkr,76.0,Ex,Y
140000,RM,8546,Pave,Edwards,2003,5,TA,1121,2,440,TA,None,SBrkr,80.0,TA,Y
171500,RL,10125,Pave,Mitchel,1977,6,TA,1279,2,473,TA,Fa,SBrkr,75.0,TA,Y
112000,RL,7000,Pave,OldTown,1924,6,TA,1310,2,398,TA,None,SBrkr,50.0,TA,Y
149000,RM,4438,Pave,CollgCr,2004,5,Gd,848,1,420,TA,Gd,SBrkr,40.880654761904765,Gd,Y
110000,RM,3500,Pave,OldTown,1947,7,TA,1284,1,240,TA,None,SBrkr,50.0,TA,Y
180500,RL,11851,Pave,Gilbert,1990,5,TA,1442,2,500,TA,None,SBrkr,99.0,TA,Y
143900,RL,13673,Pave,Sawyer,1962,5,TA,1696,1,349,TA,TA,SBrkr,40.0,TA,Y
141000,RL,12493,Pave,NAmes,1960,5,TA,1100,1,312,TA,Po,SBrkr,76.03517948717949,TA,Y
277000,RL,14364,Pave,SawyerW,1988,5,Gd,2062,2,454,TA,Gd,SBrkr,87.40900000000002,TA,Y
145000,RL,8250,Pave,NAmes,1964,7,TA,1092,1,504,TA,None,SBrkr,75.0,TA,Y
98000,RL,5604,Pave,Edwards,1925,6,TA,864,1,0,TA,None,FuseA,67.0,TA,Y
186000,RL,10420,Pave,Edwards,2009,5,TA,1212,2,460,TA,None,SBrkr,83.0,Gd,Y
252678,FV,8640,Pave,Somerst,2009,5,TA,1852,2,644,TA,TA,SBrkr,72.0,Gd,Y
156000,RL,13568,Pave,CollgCr,1995,5,TA,990,1,576,TA,None,SBrkr,43.0,TA,Y
161750,RL,10900,Pave,CollgCr,1977,7,TA,1392,1,299,TA,None,SBrkr,77.80958333333334,TA,Y
134450,RL,10011,Pave,NAmes,1957,6,TA,1236,1,447,TA,Fa,SBrkr,72.0,Gd,Y
210000,RL,8450,Pave,CollgCr,2004,5,Gd,1436,2,484,TA,None,SBrkr,65.0,Gd,Y
107000,RM,9906,Pave,OldTown,1925,4,TA,1328,1,210,TA,None,SBrkr,57.0,TA,Y
311500,RL,15660,Pave,Crawfor,1939,9,Gd,1954,1,431,TA,TA,SBrkr,89.75,Gd,Y
167240,RL,3010,Pave,Blmngtn,2005,5,Gd,1248,2,438,TA,None,SBrkr,43.0,Gd,Y
204900,RL,8990,Pave,CollgCr,2006,5,Gd,1498,2,675,TA,None,SBrkr,73.0,Gd,Y
200000,RL,8068,Pave,Gilbert,2002,5,Gd,2267,2,390,TA,TA,SBrkr,70.43090476190477,Gd,Y
179900,RL,11475,Pave,NWAmes,1975,6,TA,1552,2,434,TA,TA,SBrkr,85.0,TA,Y
97000,RL,10500,Pave,NAmes,1971,6,TA,864,1,576,TA,None,SBrkr,70.0,TA,Y
386250,RL,13472,Pave,NridgHt,2003,5,Ex,2392,2,968,TA,Ex,SBrkr,103.0,Ex,Y
112000,RM,1680,Pave,BrDale,1971,5,TA,1302,2,280,TA,None,SBrkr,21.0,TA,Y
290000,RL,9950,Pave,NoRidge,1995,5,Gd,2520,2,721,TA,TA,SBrkr,82.0,Gd,Y
106000,RM,1869,Pave,BrDale,1970,6,TA,987,1,280,TA,None,SBrkr,21.0,TA,Y
125000,RL,8521,Pave,Sawyer,1967,5,TA,912,1,336,TA,Fa,SBrkr,70.0,TA,Y
192500,RL,3182,Pave,Blmngtn,2005,5,Gd,1555,2,430,TA,TA,SBrkr,43.0,Gd,Y
148000,RL,8760,Pave,NAmes,1959,6,TA,1194,1,312,TA,None,SBrkr,73.0,TA,Y
403000,RL,15138,Pave,NoRidge,1995,5,Gd,2794,2,810,TA,TA,SBrkr,174.0,Ex,Y
94500,RM,1680,Pave,BrDale,1972,5,TA,987,1,288,TA,Po,SBrkr,21.0,TA,Y
128200,RL,10650,Pave,CollgCr,1976,6,TA,894,1,308,Gd,None,SBrkr,75.0,TA,Y
216500,RL,7851,Pave,Gilbert,2002,5,Gd,1960,2,440,TA,TA,SBrkr,67.70652380952382,Gd,Y
89500,RM,1680,Pave,BrDale,1971,3,TA,987,1,264,TA,None,SBrkr,21.0,TA,Y
185500,RL,8773,Pave,CollgCr,2004,5,Gd,1414,2,494,TA,None,SBrkr,65.0,Gd,Y
194500,RL,9453,Pave,SawyerW,1993,7,Gd,1744,2,457,TA,None,SBrkr,76.95994899665551,Gd,Y
318000,RL,12030,Pave,NridgHt,2007,5,Ex,1694,2,818,TA,None,SBrkr,93.0,Gd,Y
113000,RL,8741,Pave,Edwards,1945,4,TA,1487,1,220,Fa,Gd,FuseA,52.0,TA,Y
262500,FV,9000,Pave,Somerst,2008,5,Gd,1566,2,750,TA,None,SBrkr,75.0,Gd,Y
110500,RM,3880,Pave,OldTown,1945,9,TA,866,1,0,TA,None,SBrkr,40.0,Gd,Y
79000,RM,5000,Pave,OldTown,1900,4,TA,1440,1,352,TA,None,FuseA,63.0,TA,Y
