,Survived,Pclass,Age,SibSp,Parch,Fare,Companions,Sex_male,Sex_female,Title_Mr,Title_Mrs,Title_Miss,Title_Master,Title_Rare Title,Embarked_S,Embarked_C,Embarked_Q,Embarked_
30,0,0,28.51748443358752,0,0,7.8958,0,1,0,1,0,0,0,0,1,0,0,0
31,0,2,40.0,0,0,27.7208,0,1,0,0,0,0,0,1,0,1,0,0
32,1,2,28.928156962920117,1,0,100.2688,1,0,1,0,1,0,0,0,0,1,0,0
33,1,0,19.575816898771972,0,0,7.75,0,0,1,0,0,1,0,0,0,0,1,0
34,0,1,66.0,0,0,10.5,0,1,0,1,0,0,0,0,1,0,0,0
35,0,2,28.0,1,0,82.1708,1,1,0,1,0,0,0,0,0,1,0,0
36,0,2,42.0,1,0,52.0,1,1,0,1,0,0,0,0,1,0,0,0
37,1,0,25.462513496114756,0,0,7.2292,0,1,0,1,0,0,0,0,0,1,0,0
38,0,0,21.0,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0
39,0,0,18.0,2,0,18.0,1,0,1,0,0,1,0,0,1,0,0,0
40,1,0,14.0,1,0,11.2417,1,0,1,0,0,1,0,0,0,1,0,0
41,0,0,40.0,1,0,9.475,0,0,1,0,1,0,0,0,1,0,0,0
42,0,1,27.0,1,0,21.0,1,0,1,0,1,0,0,0,1,0,0,0
43,0,0,30.327811413254427,0,0,7.8958,0,1,0,1,0,0,0,0,0,1,0,0
44,1,1,3.0,1,2,41.5792,2,0,1,0,0,1,0,0,0,1,0,0
45,1,0,19.0,0,0,7.8792,0,0,1,0,0,1,0,0,0,0,1,0
46,0,0,29.319184461420658,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0
47,0,0,36.40561358395731,1,0,15.5,0,1,0,1,0,0,0,0,0,0,1,0
48,1,0,19.575816898771972,0,0,7.75,0,0,1,0,0,1,0,0,0,0,1,0
49,0,0,28.163938485879843,2,0,21.6792,0,1,0,1,0,0,0,0,0,1,0,0
50,0,0,18.0,1,0,17.8,1,0,1,0,1,0,0,0,1,0,0,0
51,0,0,7.0,4,1,39.6875,5,1,0,0,0,0,1,0,1,0,0,0
52,0,0,21.0,0,0,7.8,0,1,0,1,0,0,0,0,1,0,0,0
53,1,2,49.0,1,0,76.7292,2,0,1,0,1,0,0,0,0,1,0,0
54,1,1,29.0,1,0,26.0,0,0,1,0,1,0,0,0,1,0,0,0
55,0,2,65.0,0,1,61.9792,0,1,0,1,0,0,0,0,0,1,0,0
56,1,2,37.42375034079962,0,0,35.5,0,1,0,1,0,0,0,0,1,0,0,0
57,1,1,21.0,0,0,10.5,0,0,1,0,0,1,0,0,1,0,0,0
58,0,0,28.5,0,0,7.2292,0,1,0,1,0,0,0,0,0,1,0,0
59,1,1,5.0,1,2,27.75,2,0,1,0,0,1,0,0,1,0,0,0
60,0,0,11.0,5,2,46.9,5,1,0,0,0,0,1,0,1,0,0,0
61,0,0,22.0,0,0,7.2292,0,1,0,1,0,0,0,0,0,1,0,0
62,1,2,38.0,0,0,80.0,1,0,1,0,0,1,0,0,0,0,0,1
63,0,2,45.0,1,0,83.475,1,1,0,1,0,0,0,0,1,0,0,0
64,0,0,4.0,3,2,27.9,5,1,0,0,0,0,1,0,1,0,0,0
65,0,2,45.45498622486688,0,0,27.7208,0,1,0,1,0,0,0,0,0,1,0,0
66,1,0,5.774741366966368,1,1,15.2458,1,1,0,0,0,0,1,0,0,1,0,0
67,1,1,29.0,0,0,10.5,0,0,1,0,1,0,0,0,1,0,0,0
68,0,0,19.0,0,0,8.1583,0,1,0,1,0,0,0,0,1,0,0,0
69,1,0,17.0,4,2,7.925,0,0,1,0,0,1,0,0,1,0,0,0
70,0,0,26.0,2,0,8.6625,0,1,0,1,0,0,0,0,1,0,0,0
71,0,1,32.0,0,0,10.5,0,1,0,1,0,0,0,0,1,0,0,0
72,0,0,16.0,5,2,46.9,5,0,1,0,0,1,0,0,1,0,0,0
73,0,1,21.0,0,0,73.5,4,1,0,1,0,0,0,0,1,0,0,0
74,0,0,26.0,1,0,14.4542,0,1,0,1,0,0,0,0,0,1,0,0
75,1,0,32.0,0,0,56.4958,6,1,0,1,0,0,0,0,1,0,0,0
76,0,0,25.0,0,0,7.65,0,1,0,1,0,0,0,0,1,0,0,0
77,0,0,28.51748443358752,0,0,7.8958,0,1,0,1,0,0,0,0,1,0,0,0
78,0,0,29.319184461420658,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0
79,1,1,0.83,0,2,29.0,1,1,0,0,0,0,1,0,1,0,0,0
80,1,0,30.0,0,0,12.475,1,0,1,0,0,1,0,0,1,0,0,0
81,0,0,22.0,0,0,9.0,0,1,0,1,0,0,0,0,1,0,0,0
82,1,0,29.0,0,0,9.5,0,1,0,1,0,0,0,0,1,0,0,0
83,1,0,19.479992223447297,0,0,7.7875,0,0,1,0,0,1,0,0,0,0,1,0
84,0,2,28.0,0,0,47.1,0,1,0,1,0,0,0,0,1,0,0,0
85,1,1,17.0,0,0,10.5,0,0,1,0,0,1,0,0,1,0,0,0
86,1,0,33.0,3,0,15.85,1,0,1,0,1,0,0,0,1,0,0,0
87,0,0,16.0,1,3,34.375,3,1,0,1,0,0,0,0,1,0,0,0
88,0,0,29.319184461420658,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0
89,1,2,23.0,3,2,100.2688,3,0,1,0,0,1,0,0,1,0,0,0
90,0,0,24.0,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0
91,0,0,29.0,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0
92,0,0,20.0,0,0,7.8542,0,1,0,1,0,0,0,0,1,0,0,0
93,0,2,46.0,1,0,61.175,0,1,0,1,0,0,0,0,1,0,0,0
94,0,0,26.0,1,2,20.575,1,1,0,1,0,0,0,0,1,0,0,0
95,0,0,59.0,0,0,7.25,0,1,0,1,0,0,0,0,1,0,0,0
96,0,0,29.319184461420658,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0
97,0,2,71.0,0,0,34.6542,0,1,0,1,0,0,0,0,0,1,0,0
98,1,2,23.0,0,1,63.3583,0,1,0,1,0,0,0,0,0,1,0,0
99,1,1,34.0,0,1,23.0,1,0,1,0,1,0,0,0,1,0,0,0
100,0,1,34.0,1,0,26.0,1,1,0,1,0,0,0,0,1,0,0,0
101,0,0,28.0,0,0,7.8958,0,0,1,0,0,1,0,0,1,0,0,0
102,0,0,28.51748443358752,0,0,7.8958,0,1,0,1,0,0,0,0,1,0,0,0
103,0,2,21.0,0,1,77.2875,1,1,0,1,0,0,0,0,1,0,0,0
104,0,0,33.0,0,0,8.6542,0,1,0,1,0,0,0,0,1,0,0,0
105,0,0,37.0,2,0,7.925,0,1,0,1,0,0,0,0,1,0,0,0
106,0,0,28.0,0,0,7.8958,0,1,0,1,0,0,0,0,1,0,0,0
107,1,0,21.0,0,0,7.65,0,0,1,0,0,1,0,0,1,0,0,0
108,1,0,27.725671560927168,0,0,7.775,0,1,0,1,0,0,0,0,1,0,0,0
109,0,0,38.0,0,0,7.8958,0,1,0,1,0,0,0,0,1,0,0,0
110,1,0,18.29054653679653,1,0,24.15,2,0,1,0,0,1,0,0,0,0,1,0
111,0,2,47.0,0,0,52.0,1,1,0,1,0,0,0,0,1,0,0,0
112,0,0,14.5,1,0,14.4542,1,0,1,0,0,1,0,0,0,1,0,0
113,0,0,22.0,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0
114,0,0,20.0,1,0,9.825,0,0,1,0,0,1,0,0,1,0,0,0
115,0,0,17.0,0,0,14.4583,1,0,1,0,0,1,0,0,0,1,0,0
116,0,0,21.0,0,0,7.925,0,1,0,1,0,0,0,0,1,0,0,0
117,0,0,70.5,0,0,7.75,0,1,0,1,0,0,0,0,0,0,1,0
118,0,1,29.0,1,0,21.0,1,1,0,1,0,0,0,0,1,0,0,0
119,0,2,24.0,0,1,100.2688,1,1,0,1,0,0,0,0,0,1,0,0
120,0,0,2.0,4,2,31.275,6,0,1,0,0,1,0,0,1,0,0,0
121,0,1,21.0,2,0,73.5,4,1,0,1,0,0,0,0,1,0,0,0
122,0,0,29.319184461420658,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0
123,0,1,32.5,1,0,30.0708,1,1,0,1,0,0,0,0,0,1,0,0
124,1,1,32.5,0,0,13.0,0,0,1,0,0,1,0,0,1,0,0,0
125,0,2,54.0,0,1,77.2875,1,1,0,1,0,0,0,0,1,0,0,0
126,1,0,12.0,1,0,11.2417,1,1,0,0,0,0,1,0,0,1,0,0
127,0,0,39.457867340588315,0,0,7.75,0,1,0,1,0,0,0,0,0,0,1,0
128,1,0,24.0,0,0,7.1417,0,1,0,1,0,0,0,0,1,0,0,0
129,1,0,5.080820360195362,1,1,22.3583,1,0,1,0,0,1,0,0,0,1,0,0
130,0,0,45.0,0,0,6.975,0,1,0,1,0,0,0,0,1,0,0,0
131,0,0,33.0,0,0,7.8958,0,1,0,1,0,0,0,0,0,1,0,0
132,0,0,20.0,0,0,7.05,0,1,0,1,0,0,0,0,1,0,0,0
133,0,0,47.0,1,0,14.5,0,0,1,0,1,0,0,0,1,0,0,0
134,1,1,29.0,1,0,26.0,0,0,1,0,1,0,0,0,1,0,0,0
135,0,1,25.0,0,0,13.0,0,1,0,1,0,0,0,0,1,0,0,0
136,0,1,23.0,0,0,15.0458,0,1,0,1,0,0,0,0,0,1,0,0
137,1,2,19.0,0,2,26.2833,0,0,1,0,0,1,0,0,1,0,0,0
138,0,2,37.0,1,0,53.1,1,1,0,1,0,0,0,0,1,0,0,0
139,0,0,16.0,0,0,9.2167,1,1,0,1,0,0,0,0,1,0,0,0
140,0,2,24.0,0,0,79.2,1,1,0,1,0,0,0,0,0,1,0,0
141,0,0,34.25891666666667,0,2,15.2458,1,0,1,0,1,0,0,0,0,1,0,0
142,1,0,22.0,0,0,7.75,0,0,1,0,0,1,0,0,1,0,0,0
143,1,0,24.0,1,0,15.85,1,0,1,0,1,0,0,0,1,0,0,0
144,0,0,19.0,0,0,6.75,0,1,0,1,0,0,0,0,0,0,1,0
145,0,1,18.0,0,0,11.5,0,1,0,1,0,0,0,0,1,0,0,0
146,0,1,19.0,1,1,36.75,1,1,0,1,0,0,0,0,1,0,0,0
147,1,0,27.0,0,0,7.7958,0,1,0,1,0,0,0,0,1,0,0,0
148,0,0,9.0,2,2,34.375,3,0,1,0,0,1,0,0,1,0,0,0
149,0,1,36.5,0,2,26.0,2,1,0,1,0,0,0,0,1,0,0,0
150,0,1,42.0,0,0,13.0,0,1,0,0,0,0,0,1,1,0,0,0
151,0,1,51.0,0,0,12.525,0,1,0,0,0,0,0,1,1,0,0,0
152,1,2,22.0,1,0,66.6,1,0,1,0,1,0,0,0,1,0,0,0
153,0,0,55.5,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0
154,0,0,40.5,0,2,14.5,0,1,0,1,0,0,0,0,1,0,0,0
155,0,0,30.109574319386248,0,0,7.3125,0,1,0,1,0,0,0,0,1,0,0,0
156,0,2,51.0,0,1,61.3792,0,1,0,1,0,0,0,0,0,1,0,0
157,1,0,16.0,0,0,7.7333,0,0,1,0,0,1,0,0,0,0,1,0
158,0,0,30.0,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0
159,0,0,27.597277267638365,0,0,8.6625,0,1,0,1,0,0,0,0,1,0,0,0
160,0,0,9.744914565826331,8,2,69.55,6,1,0,0,0,0,1,0,1,0,0,0
161,0,0,44.0,0,1,16.1,0,1,0,1,0,0,0,0,1,0,0,0
162,1,1,40.0,0,0,15.75,0,0,1,0,1,0,0,0,1,0,0,0
163,0,0,26.0,0,0,7.775,0,1,0,1,0,0,0,0,1,0,0,0
164,0,0,17.0,0,0,8.6625,0,1,0,1,0,0,0,0,1,0,0,0
165,0,0,1.0,4,1,39.6875,5,1,0,0,0,0,1,0,1,0,0,0
166,1,0,9.0,0,2,20.525,2,1,0,0,0,0,1,0,1,0,0,0
167,1,2,43.48348784548784,0,1,55.0,1,0,1,0,1,0,0,0,1,0,0,0
168,0,0,45.0,1,4,27.9,5,0,1,0,1,0,0,0,1,0,0,0
169,0,2,49.66193669688758,0,0,25.925,0,1,0,1,0,0,0,0,1,0,0,0
170,0,0,28.0,0,0,56.4958,6,1,0,1,0,0,0,0,1,0,0,0
171,0,2,61.0,0,0,33.5,0,1,0,1,0,0,0,0,1,0,0,0
172,0,0,4.0,4,1,29.125,4,1,0,0,0,0,1,0,0,0,1,0
173,1,0,1.0,1,1,11.1333,2,0,1,0,0,1,0,0,1,0,0,0
174,0,0,21.0,0,0,7.925,0,1,0,1,0,0,0,0,1,0,0,0
175,0,2,56.0,0,0,30.6958,0,1,0,1,0,0,0,0,0,1,0,0
176,0,0,18.0,1,1,7.8542,0,1,0,1,0,0,0,0,1,0,0,0
177,0,0,4.567716910866912,3,1,25.4667,3,1,0,0,0,0,1,0,1,0,0,0
178,0,2,50.0,0,0,28.7125,0,0,1,0,0,1,0,0,0,1,0,0
179,0,1,30.0,0,0,13.0,0,1,0,1,0,0,0,0,1,0,0,0
180,0,0,36.0,0,0,0.0,3,1,0,1,0,0,0,0,1,0,0,0
181,0,0,14.149332389382085,8,2,69.55,6,0,1,0,0,1,0,0,1,0,0,0
182,0,1,30.240480265802884,0,0,15.05,0,1,0,1,0,0,0,0,0,1,0,0
183,0,0,9.0,4,2,31.3875,3,1,0,0,0,0,1,0,1,0,0,0
184,1,1,1.0,2,1,39.0,1,1,0,0,0,0,1,0,1,0,0,0
185,1,0,4.0,0,2,22.025,0,0,1,0,0,1,0,0,1,0,0,0
186,0,2,45.114527042364855,0,0,50.0,0,1,0,1,0,0,0,0,1,0,0,0
187,1,0,28.118216269841273,1,0,15.5,1,0,1,0,1,0,0,0,0,0,1,0
188,1,2,45.0,0,0,26.55,0,1,0,1,0,0,0,0,1,0,0,0
189,0,0,40.0,1,1,15.5,1,1,0,1,0,0,0,0,0,0,1,0
190,0,0,36.0,0,0,7.8958,0,1,0,1,0,0,0,0,1,0,0,0
191,1,1,32.0,0,0,13.0,0,0,1,0,1,0,0,0,1,0,0,0
192,0,1,19.0,0,0,13.0,0,1,0,1,0,0,0,0,1,0,0,0
193,1,0,19.0,1,0,7.8542,0,0,1,0,0,1,0,0,1,0,0,0
194,1,1,3.0,1,1,26.0,2,1,0,0,0,0,1,0,1,0,0,0
195,1,2,44.0,0,0,27.7208,0,0,1,0,1,0,0,0,0,1,0,0
196,1,2,58.0,0,0,100.2688,1,0,1,0,0,1,0,0,0,1,0,0
197,0,0,39.457867340588315,0,0,7.75,0,1,0,1,0,0,0,0,0,0,1,0
198,0,0,42.0,0,1,8.4042,0,1,0,1,0,0,0,0,1,0,0,0
199,1,0,19.575816898771972,0,0,7.75,0,0,1,0,0,1,0,0,0,0,1,0
200,0,1,24.0,0,0,13.0,0,0,1,0,0,1,0,0,1,0,0,0
201,0,0,28.0,0,0,9.5,0,1,0,1,0,0,0,0,1,0,0,0
202,0,0,18.493226190476193,8,2,69.55,6,1,0,1,0,0,0,0,1,0,0,0
203,0,0,34.0,0,0,6.4958,0,1,0,1,0,0,0,0,1,0,0,0
204,0,0,45.5,0,0,7.225,0,1,0,1,0,0,0,0,0,1,0,0
205,1,0,18.0,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0
206,0,0,2.0,0,1,10.4625,1,0,1,0,0,1,0,0,1,0,0,0
207,0,0,32.0,1,0,15.85,1,1,0,1,0,0,0,0,1,0,0,0
208,1,0,26.0,0,0,18.7875,1,1,0,1,0,0,0,0,0,1,0,0
209,1,0,16.0,0,0,7.75,0,0,1,0,0,1,0,0,0,0,1,0
210,1,2,40.0,0,0,31.0,0,1,0,1,0,0,0,0,0,1,0,0
211,0,0,24.0,0,0,7.05,0,1,0,1,0,0,0,0,1,0,0,0
212,1,1,35.0,0,0,21.0,0,0,1,0,0,1,0,0,1,0,0,0
213,0,0,22.0,0,0,7.25,0,1,0,1,0,0,0,0,1,0,0,0
214,0,1,30.0,0,0,13.0,0,1,0,1,0,0,0,0,1,0,0,0
215,0,0,34.38699694544341,1,0,7.75,0,1,0,1,0,0,0,0,0,0,1,0
216,1,2,31.0,1,0,100.2688,2,0,1,0,0,1,0,0,0,1,0,0
217,1,0,27.0,0,0,7.925,0,0,1,0,0,1,0,0,1,0,0,0
218,0,1,42.0,1,0,27.0,1,1,0,1,0,0,0,0,1,0,0,0
219,1,2,32.0,0,0,76.2917,0,0,1,0,0,1,0,0,0,1,0,0
220,0,1,30.0,0,0,10.5,0,1,0,1,0,0,0,0,1,0,0,0
221,1,0,16.0,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0
222,0,1,27.0,0,0,13.0,0,1,0,1,0,0,0,0,1,0,0,0
223,0,0,51.0,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0
224,0,0,28.51748443358752,0,0,7.8958,0,1,0,1,0,0,0,0,1,0,0,0
225,1,2,38.0,1,0,90.0,1,1,0,1,0,0,0,0,1,0,0,0
226,0,0,22.0,0,0,9.35,0,1,0,1,0,0,0,0,1,0,0,0
227,1,1,19.0,0,0,10.5,0,1,0,1,0,0,0,0,1,0,0,0
228,0,0,20.5,0,0,7.25,0,1,0,1,0,0,0,0,1,0,0,0
229,0,1,18.0,0,0,13.0,0,1,0,1,0,0,0,0,1,0,0,0
230,0,0,6.580950922401354,3,1,25.4667,3,0,1,0,0,1,0,0,1,0,0,0
231,1,2,35.0,1,0,83.475,1,0,1,0,1,0,0,0,1,0,0,0
232,0,0,29.0,0,0,7.775,0,1,0,1,0,0,0,0,1,0,0,0
233,0,1,59.0,0,0,13.5,0,1,0,1,0,0,0,0,1,0,0,0
234,1,0,5.0,4,2,31.3875,3,0,1,0,0,1,0,0,1,0,0,0
235,0,1,24.0,0,0,10.5,0,1,0,1,0,0,0,0,1,0,0,0
236,0,0,27.02225547501652,0,0,7.55,0,0,1,0,0,1,0,0,1,0,0,0
237,0,1,44.0,1,0,26.0,0,1,0,1,0,0,0,0,1,0,0,0
238,1,1,8.0,0,2,26.25,2,0,1,0,0,1,0,0,1,0,0,0
239,0,1,19.0,0,0,10.5,0,1,0,1,0,0,0,0,1,0,0,0
240,0,1,33.0,0,0,12.275,0,1,0,1,0,0,0,0,1,0,0,0
241,0,0,15.837176767676764,1,0,14.4542,1,0,1,0,0,1,0,0,0,1,0,0
242,1,0,17.47584415584415,1,0,15.5,1,0,1,0,0,1,0,0,0,0,1,0
243,0,1,29.0,0,0,10.5,0,1,0,1,0,0,0,0,1,0,0,0
244,0,0,22.0,0,0,7.125,0,1,0,1,0,0,0,0,1,0,0,0
245,0,0,30.0,0,0,7.225,0,1,0,1,0,0,0,0,0,1,0,0
246,0,2,44.0,2,0,90.0,1,1,0,0,0,0,0,1,0,0,1,0
247,0,0,25.0,0,0,7.775,0,0,1,0,0,1,0,0,1,0,0,0
248,1,1,24.0,0,2,14.5,1,0,1,0,1,0,0,0,1,0,0,0
249,1,2,37.0,1,1,52.5542,1,1,0,1,0,0,0,0,1,0,0,0
250,0,1,54.0,1,0,26.0,1,1,0,0,0,0,0,1,1,0,0,0
251,0,0,30.109574319386248,0,0,7.25,0,1,0,1,0,0,0,0,1,0,0,0
252,0,0,29.0,1,1,10.4625,1,0,1,0,1,0,0,0,1,0,0,0
253,0,2,62.0,0,0,26.55,0,1,0,1,0,0,0,0,1,0,0,0
254,0,0,30.0,1,0,16.1,1,1,0,1,0,0,0,0,1,0,0,0
255,0,0,41.0,0,2,20.2125,1,0,1,0,1,0,0,0,1,0,0,0
256,1,0,29.0,0,2,15.2458,0,0,1,0,1,0,0,0,0,1,0,0
257,1,2,46.60722648287385,0,0,79.2,0,0,1,0,1,0,0,0,0,1,0,0
258,1,2,30.0,0,0,86.5,2,0,1,0,0,1,0,0,1,0,0,0
259,1,2,35.0,0,0,100.2688,2,0,1,0,0,1,0,0,0,1,0,0
260,1,1,50.0,0,1,26.0,1,0,1,0,1,0,0,0,1,0,0,0
261,0,0,39.457867340588315,0,0,7.75,0,1,0,1,0,0,0,0,0,0,1,0
262,1,0,3.0,4,2,31.3875,3,1,0,0,0,0,1,0,1,0,0,0
263,0,2,52.0,1,1,79.65,2,1,0,1,0,0,0,0,1,0,0,0
264,0,2,40.0,0,0,0.0,0,1,0,1,0,0,0,0,1,0,0,0
265,0,0,25.005571315562612,0,0,7.75,0,0,1,0,0,1,0,0,0,0,1,0
266,0,1,36.0,0,0,10.5,0,1,0,1,0,0,0,0,1,0,0,0
267,0,0,16.0,4,1,39.6875,5,1,0,1,0,0,0,0,1,0,0,0
268,1,0,25.0,1,0,7.775,0,1,0,1,0,0,0,0,1,0,0,0
269,1,2,58.0,0,1,100.2688,2,0,1,0,1,0,0,0,1,0,0,0
270,1,2,35.0,0,0,100.2688,2,0,1,0,0,1,0,0,1,0,0,0
271,0,2,45.63512510763008,0,0,31.0,1,1,0,1,0,0,0,0,1,0,0,0
272,1,0,25.0,0,0,0.0,3,1,0,1,0,0,0,0,1,0,0,0
273,1,1,41.0,0,1,19.5,1,0,1,0,1,0,0,0,1,0,0,0
274,0,2,37.0,0,1,29.7,0,1,0,1,0,0,0,0,0,1,0,0
275,1,0,19.575816898771972,0,0,7.75,0,0,1,0,0,1,0,0,0,0,1,0
276,1,2,63.0,1,0,77.9583,2,0,1,0,0,1,0,0,1,0,0,0
277,0,0,45.0,0,0,7.75,0,0,1,0,0,1,0,0,1,0,0,0
278,0,1,31.069095449110424,0,0,0.0,2,1,0,1,0,0,0,0,1,0,0,0
279,0,0,7.0,4,1,29.125,4,1,0,0,0,0,1,0,0,0,1,0
280,1,0,35.0,1,1,20.25,1,0,1,0,1,0,0,0,1,0,0,0
281,0,0,65.0,0,0,7.75,0,1,0,1,0,0,0,0,0,0,1,0
282,0,0,28.0,0,0,7.8542,0,1,0,1,0,0,0,0,1,0,0,0
283,0,0,16.0,0,0,9.5,0,1,0,1,0,0,0,0,1,0,0,0
284,1,0,19.0,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0
285,0,2,49.38193669688758,0,0,26.0,0,1,0,1,0,0,0,0,1,0,0,0
286,0,0,33.0,0,0,8.6625,0,1,0,1,0,0,0,0,0,1,0,0
287,1,0,30.0,0,0,9.5,0,1,0,1,0,0,0,0,1,0,0,0
288,0,0,22.0,0,0,7.8958,0,1,0,1,0,0,0,0,1,0,0,0
289,1,1,42.0,0,0,13.0,0,1,0,1,0,0,0,0,1,0,0,0
290,1,0,22.0,0,0,7.75,0,0,1,0,0,1,0,0,0,0,1,0
291,1,2,26.0,0,0,78.85,1,0,1,0,0,1,0,0,1,0,0,0
292,1,2,19.0,1,0,91.0792,1,0,1,0,1,0,0,0,0,1,0,0
293,0,1,36.0,0,0,12.875,0,1,0,1,0,0,0,0,0,1,0,0
294,0,0,24.0,0,0,8.85,0,0,1,0,0,1,0,0,1,0,0,0
295,0,0,24.0,0,0,7.8958,0,1,0,1,0,0,0,0,1,0,0,0
296,0,2,45.45498622486688,0,0,27.7208,0,1,0,1,0,0,0,0,0,1,0,0
297,0,0,23.5,0,0,7.2292,0,1,0,1,0,0,0,0,0,1,0,0
298,0,2,2.0,1,2,100.2688,3,0,1,0,0,1,0,0,1,0,0,0
299,1,2,39.74295780581184,0,0,30.5,0,1,0,1,0,0,0,0,1,0,0,0
300,1,2,50.0,0,1,100.2688,1,0,1,0,1,0,0,0,0,1,0,0
301,1,0,19.575816898771972,0,0,7.75,0,0,1,0,0,1,0,0,0,0,1,0
302,1,0,30.199909093069277,2,0,23.25,1,1,0,1,0,0,0,0,0,0,1,0
303,0,0,19.0,0,0,0.0,3,1,0,1,0,0,0,0,1,0,0,0
304,1,1,30.22705464814776,0,0,12.35,0,0,1,0,0,1,0,0,0,0,1,0
305,0,0,29.319184461420658,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0
306,1,2,0.92,1,2,100.2688,3,1,0,0,0,0,1,0,1,0,0,0
307,1,2,32.52614498363954,0,0,100.2688,3,0,1,0,0,1,0,0,0,1,0,0
308,1,2,17.0,1,0,100.2688,1,0,1,0,1,0,0,0,0,1,0,0
309,0,1,30.0,1,0,24.0,1,1,0,1,0,0,0,0,0,1,0,0
310,1,2,30.0,0,0,56.9292,1,0,1,0,0,1,0,0,0,1,0,0
311,1,2,24.0,0,0,83.1583,1,0,1,0,0,1,0,0,0,1,0,0
312,1,2,18.0,2,2,100.2688,1,0,1,0,0,1,0,0,0,1,0,0
313,0,1,26.0,1,1,26.0,0,0,1,0,1,0,0,0,1,0,0,0
314,0,0,28.0,0,0,7.8958,0,1,0,1,0,0,0,0,1,0,0,0
315,0,1,43.0,1,1,26.25,2,1,0,1,0,0,0,0,1,0,0,0
316,1,0,26.0,0,0,7.8542,0,0,1,0,0,1,0,0,1,0,0,0
317,1,1,24.0,1,0,26.0,1,0,1,0,1,0,0,0,1,0,0,0
318,0,1,54.0,0,0,14.0,0,1,0,0,0,0,0,1,1,0,0,0
319,1,2,31.0,0,2,100.2688,1,0,1,0,0,1,0,0,1,0,0,0
